,condition,comprehension_q,wealthy_family_essential,educated_parents_essential,having_ambition_essential,hard_work_essential,talent_essential,luck_essential,connections_essential,good_education_essential,political_influence_essential,enough_opportunities,more_opportunities_than_parents,hard_work_brings_better_life,people_poor_because_laziness,high_earners_deserve_high,low_earners_deserve_low,ineq_serious_problem,poverty_serious_problem,unequal_hcare_serious_problem,ineq_increasing,govt_regulation_effective,govt_transfers_effective,progressive_taxes_effective,educ_policies_effective,private_charity_effective,govt_should_decrease_ineq,companies_should_decrease_ineq,who_most_responsible,is_resident,state,gender,age,married,has_children,race,religion,education,emp_status,occupation,household_income,subj_relative_income,income_volatile,sol_better_than_past,sol_better_in_future,liberal,political_party,follow_news,has_confidence_in_science,father_occ,mother_occ,father_educ,mother_educ,subj_relative_income_16_yrs,sol_better_than_parents,coronavirus_serious_threat,must_save_economy,satisfied_with_city,satisfied_with_state,satisfied_with_federal_govt,self_became_ill,family_member_became_ill,self_lost_income,family_member_lost_income,self_at_risk,family_member_at_risk,not_affected,affected_in_other_way,how_affected_by_coronavirus_other,days_out_in_past_week,opinion_q_DO,DS_regular_or_reverse,EO_regular_or_reverse,LHW_regular_or_reverse,ED_regular_or_reverse,ISP_regular_or_reverse,GT_regular_or_reverse,GMC_regular_or_reverse,Demog_end_regular_or_reverse,Parents_end_regular_or_reverse,Corona_regular_or_reverse,GMC.3_DO,DQ18_DO
4967,corona_natural_ineq,Corona virus impacts ,3.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,1,Washington,2,49,1,1,4,8,6,6,Homemaker ,9.0,4.0,1.0,4.0,4.0,3.0,4.0,5.0,2.0,Teacher ,Teo,5,5,3.0,4.0,5.0,2.0,4.0,4.0,1.0,0,0,0,0,0,0,1,0,,1.0,"['more_opportunities_than_parents', 'enough_opportunities', 'people_poor_because_laziness', 'hard_work_brings_better_life', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_serious_problem', 'ineq_increasing', 'low_earners_deserve_low', 'high_earners_deserve_high', '', 'political_influence_essential', 'talent_essential', 'educated_parents_essential', 'luck_essential', 'wealthy_family_essential', 'good_education_essential', 'connections_essential', 'having_ambition_essential', 'hard_work_essential', 'educ_policies_effective', 'govt_transfers_effective', 'private_charity_effective', 'progressive_taxes_effective', 'govt_regulation_effective', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible']",DS_Reverse,EO,LHW,ED_Reverse,ISP_Reverse,GT_Reverse,GMC,Demographics_End,Parents_End,Coronavirus_Reverse,Government|High income individuals themselves|Major companies|Low income individuals themselves|Private charities|Income differences do not need to be reduced,Democrat|Republican|Independent|None
4970,corona_control,the disease outbreak in the world,3.0,2.0,5.0,5.0,5.0,3.0,4.0,2.0,2.0,2.0,2.0,5.0,7.0,4.0,4.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1,Florida,1,23,0,0,1,4,4,1,framer,7.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,framer,stayed home,2,4,4.0,2.0,2.0,4.0,4.0,4.0,3.0,0,0,0,0,0,0,1,0,,7.0,"['private_charity_effective', 'progressive_taxes_effective', 'educ_policies_effective', 'govt_regulation_effective', 'govt_transfers_effective', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible', 'people_poor_because_laziness', 'hard_work_brings_better_life', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_serious_problem', 'ineq_increasing', 'more_opportunities_than_parents', 'enough_opportunities', 'high_earners_deserve_high', 'low_earners_deserve_low', '', 'hard_work_essential', 'having_ambition_essential', 'talent_essential', 'wealthy_family_essential', 'good_education_essential', 'connections_essential', 'luck_essential', 'educated_parents_essential', 'political_influence_essential']",DS_Reverse,EO,LHW_Reverse,ED_Reverse,ISP_Reverse,GT,GMC_Reverse,Demographics_End,Parents_End_Reverse,Coronavirus,Private charities|Low income individuals themselves|High income individuals themselves|Major companies|Government|Income differences do not need to be reduced,Republican|Democrat|Independent|None
4971,corona_control,coronavirus,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,4.0,7.0,6.0,1,Florida,1,48,0,0,1,2,3,4,constrution,3.0,3.0,2.0,3.0,3.0,3.0,1.0,5.0,2.0,sales,stay at home mom,3,3,3.0,3.0,4.0,4.0,4.0,3.0,4.0,0,0,0,0,0,0,0,0,,3.0,"['educ_policies_effective', 'private_charity_effective', 'govt_regulation_effective', 'progressive_taxes_effective', 'govt_transfers_effective', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_serious_problem', 'ineq_increasing', 'hard_work_brings_better_life', 'people_poor_because_laziness', 'enough_opportunities', 'more_opportunities_than_parents', 'high_earners_deserve_high', 'low_earners_deserve_low', '', 'political_influence_essential', 'wealthy_family_essential', 'hard_work_essential', 'having_ambition_essential', 'educated_parents_essential', 'luck_essential', 'connections_essential', 'good_education_essential', 'talent_essential']",DS_Reverse,EO,LHW_Reverse,ED,ISP,GT_Reverse,GMC,Demographics_End,Parents_End,Coronavirus,Major companies|Low income individuals themselves|Government|Private charities|High income individuals themselves|Income differences do not need to be reduced,Democrat|Republican|Independent|None
4972,corona_control,COVID-19 ,3.0,3.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,3.0,7.0,4.0,1.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1,Florida,1,26,0,0,1,1,4,5,Welder,2.0,2.0,1.0,1.0,5.0,1.0,1.0,5.0,3.0,Carpenter,IT,2,5,2.0,1.0,3.0,1.0,5.0,5.0,5.0,0,0,0,0,0,0,0,0,,7.0,"['govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible', 'govt_transfers_effective', 'progressive_taxes_effective', 'educ_policies_effective', 'govt_regulation_effective', 'private_charity_effective', 'enough_opportunities', 'more_opportunities_than_parents', 'low_earners_deserve_low', 'high_earners_deserve_high', '', 'luck_essential', 'educated_parents_essential', 'having_ambition_essential', 'connections_essential', 'talent_essential', 'political_influence_essential', 'wealthy_family_essential', 'good_education_essential', 'hard_work_essential', 'poverty_serious_problem', 'ineq_serious_problem', 'unequal_hcare_serious_problem', 'ineq_increasing', 'people_poor_because_laziness', 'hard_work_brings_better_life']",DS,EO_Reverse,LHW,ED,ISP_Reverse,GT,GMC_Reverse,Demographics_End,Parents_End_Reverse,Coronavirus,Low income individuals themselves|High income individuals themselves|Private charities|Government|Major companies|Income differences do not need to be reduced,Republican|Democrat|Independent|None
4975,corona_class_ineq,How blacks are affected by the covid 19 more,2.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,7.0,4.0,6.0,1,Illinois,1,28,0,0,1,10,2,4,None,1.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,Unsure,Unsure,10,10,1.0,4.0,3.0,3.0,3.0,3.0,3.0,0,0,1,0,0,0,0,0,,5.0,"['govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible', 'private_charity_effective', 'govt_transfers_effective', 'progressive_taxes_effective', 'educ_policies_effective', 'govt_regulation_effective', 'high_earners_deserve_high', 'low_earners_deserve_low', '', 'connections_essential', 'educated_parents_essential', 'luck_essential', 'talent_essential', 'having_ambition_essential', 'political_influence_essential', 'good_education_essential', 'hard_work_essential', 'wealthy_family_essential', 'people_poor_because_laziness', 'hard_work_brings_better_life', 'more_opportunities_than_parents', 'enough_opportunities', 'ineq_serious_problem', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_increasing']",DS,EO_Reverse,LHW,ED_Reverse,ISP,GT_Reverse,GMC,Demographics_End_Reverse,Parents_End,Coronavirus,Low income individuals themselves|Major companies|High income individuals themselves|Government|Private charities|Income differences do not need to be reduced,Democrat|Republican|Independent|None
4976,corona_control,The out break of the corona virus ,3.0,3.0,5.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1,Ohio,1,61,1,0,1,4,6,3,Financial Manager ,6.0,3.0,2.0,3.0,5.0,2.0,1.0,4.0,2.0,Owner of a Pluming Company,Home maker,3,3,3.0,4.0,3.0,4.0,3.0,4.0,4.0,0,0,1,0,0,0,0,0,,7.0,"['companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'progressive_taxes_effective', 'govt_regulation_effective', 'private_charity_effective', 'govt_transfers_effective', 'educ_policies_effective', 'hard_work_brings_better_life', 'people_poor_because_laziness', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_serious_problem', 'ineq_increasing', 'enough_opportunities', 'more_opportunities_than_parents', '', 'wealthy_family_essential', 'connections_essential', 'good_education_essential', 'luck_essential', 'political_influence_essential', 'having_ambition_essential', 'talent_essential', 'educated_parents_essential', 'hard_work_essential', 'low_earners_deserve_low', 'high_earners_deserve_high']",DS_Reverse,EO,LHW,ED_Reverse,ISP,GT_Reverse,GMC_Reverse,Demographics_End_Reverse,Parents_End_Reverse,Coronavirus_Reverse,Low income individuals themselves|Government|High income individuals themselves|Major companies|Private charities|Income differences do not need to be reduced,Democrat|Republican|Independent|None
4977,corona_natural_ineq,"This corona virus is really, badly affecting the ederly ",1.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,7.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,1.0,5.0,4.0,6.0,1,Rhode Island,1,20,0,0,2,1,3,2,Engineer,6.0,3.0,2.0,5.0,4.0,3.0,3.0,4.0,1.0,Gas tank mover,School assistant,4,5,3.0,4.0,4.0,1.0,2.0,2.0,2.0,0,0,1,0,0,0,0,0,,4.0,"['enough_opportunities', 'more_opportunities_than_parents', 'hard_work_brings_better_life', 'people_poor_because_laziness', '', 'hard_work_essential', 'talent_essential', 'political_influence_essential', 'good_education_essential', 'educated_parents_essential', 'luck_essential', 'having_ambition_essential', 'wealthy_family_essential', 'connections_essential', 'low_earners_deserve_low', 'high_earners_deserve_high', 'poverty_serious_problem', 'ineq_serious_problem', 'unequal_hcare_serious_problem', 'ineq_increasing', 'progressive_taxes_effective', 'private_charity_effective', 'educ_policies_effective', 'govt_transfers_effective', 'govt_regulation_effective', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible']",DS,EO,LHW_Reverse,ED,ISP,GT_Reverse,GMC_Reverse,Demographics_End,Parents_End,Coronavirus,High income individuals themselves|Low income individuals themselves|Government|Major companies|Private charities|Income differences do not need to be reduced,Democrat|Republican|Independent|None
4986,corona_class_ineq,Racism is very even doing the pandemic the devil is really busy! We have been hearing this on the news ,5.0,4.0,4.0,4.0,4.0,1.0,5.0,4.0,5.0,2.0,3.0,3.0,2.0,3.0,2.0,5.0,5.0,5.0,3.0,4.0,2.0,3.0,3.0,3.0,6.0,7.0,3.0,1,Connecticut,2,35,0,0,2,1,7,1,Educator ,4.0,1.0,1.0,2.0,5.0,2.0,1.0,4.0,1.0,I really don't know ,I really don't know ,3,2,3.0,4.0,5.0,1.0,4.0,4.0,1.0,0,0,0,0,0,1,0,0,,2.0,"['high_earners_deserve_high', 'low_earners_deserve_low', 'ineq_serious_problem', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_increasing', 'enough_opportunities', 'more_opportunities_than_parents', 'people_poor_because_laziness', 'hard_work_brings_better_life', '', 'good_education_essential', 'educated_parents_essential', 'connections_essential', 'hard_work_essential', 'luck_essential', 'having_ambition_essential', 'wealthy_family_essential', 'political_influence_essential', 'talent_essential', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'educ_policies_effective', 'govt_transfers_effective', 'private_charity_effective', 'progressive_taxes_effective', 'govt_regulation_effective']",DS,EO_Reverse,LHW_Reverse,ED_Reverse,ISP,GT,GMC_Reverse,Demographics_End,Parents_End_Reverse,Coronavirus_Reverse,High income individuals themselves|Private charities|Low income individuals themselves|Government|Major companies|Income differences do not need to be reduced,Democrat|Republican|Independent|None
4987,corona_natural_ineq,Old people and people with existing conditions are more vulnerable to the virus.,1.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,5.0,1,Maryland,1,61,1,0,1,2,6,1,Risk,11.0,4.0,1.0,3.0,3.0,2.0,3.0,5.0,2.0,State supervisor,Store manager,3,3,2.0,3.0,5.0,1.0,2.0,2.0,4.0,0,0,0,0,1,0,0,1,Telework,7.0,"['low_earners_deserve_low', 'high_earners_deserve_high', 'people_poor_because_laziness', 'hard_work_brings_better_life', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_serious_problem', 'ineq_increasing', 'enough_opportunities', 'more_opportunities_than_parents', '', 'political_influence_essential', 'having_ambition_essential', 'talent_essential', 'educated_parents_essential', 'good_education_essential', 'connections_essential', 'wealthy_family_essential', 'hard_work_essential', 'luck_essential', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'govt_regulation_effective', 'progressive_taxes_effective', 'educ_policies_effective', 'private_charity_effective', 'govt_transfers_effective']",DS_Reverse,EO,LHW_Reverse,ED,ISP,GT_Reverse,GMC_Reverse,Demographics_End,Parents_End,Coronavirus_Reverse,Private charities|High income individuals themselves|Low income individuals themselves|Government|Major companies|Income differences do not need to be reduced,Democrat|Republican|Independent|None
4990,corona_control,About Covid 19,3.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,2.0,3.0,6.0,6.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,5.0,2.0,1,Maryland,1,33,0,0,3,4,6,4,Industrial Engineer,8.0,4.0,1.0,3.0,5.0,3.0,3.0,4.0,3.0,Driver,Housewife,3,2,6.0,4.0,5.0,2.0,4.0,4.0,3.0,0,0,0,0,0,0,0,0,,0.0,"['govt_regulation_effective', 'educ_policies_effective', 'private_charity_effective', 'govt_transfers_effective', 'progressive_taxes_effective', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible', 'high_earners_deserve_high', 'low_earners_deserve_low', 'hard_work_brings_better_life', 'people_poor_because_laziness', '', 'political_influence_essential', 'hard_work_essential', 'luck_essential', 'wealthy_family_essential', 'good_education_essential', 'connections_essential', 'educated_parents_essential', 'talent_essential', 'having_ambition_essential', 'unequal_hcare_serious_problem', 'ineq_serious_problem', 'poverty_serious_problem', 'ineq_increasing', 'more_opportunities_than_parents', 'enough_opportunities']",DS,EO_Reverse,LHW_Reverse,ED_Reverse,ISP_Reverse,GT_Reverse,GMC,Demographics_End,Parents_End,Coronavirus,Government|High income individuals themselves|Major companies|Low income individuals themselves|Private charities|Income differences do not need to be reduced,Democrat|Republican|Independent|None
4991,corona_control,The spread of coronavirus ,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,1.0,1.0,4.0,3.0,1.0,1.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,7.0,5.0,1,Florida,1,62,0,0,1,1,4,6,Retiree ,1.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,Cabinet Maker,Housewife/assisted living ,4,4,2.0,4.0,5.0,1.0,4.0,4.0,3.0,0,0,0,0,0,0,1,0,,7.0,"['unequal_hcare_serious_problem', 'ineq_serious_problem', 'poverty_serious_problem', 'ineq_increasing', '', 'having_ambition_essential', 'good_education_essential', 'talent_essential', 'wealthy_family_essential', 'educated_parents_essential', 'connections_essential', 'luck_essential', 'hard_work_essential', 'political_influence_essential', 'people_poor_because_laziness', 'hard_work_brings_better_life', 'low_earners_deserve_low', 'high_earners_deserve_high', 'enough_opportunities', 'more_opportunities_than_parents', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'govt_regulation_effective', 'private_charity_effective', 'govt_transfers_effective', 'educ_policies_effective', 'progressive_taxes_effective']",DS_Reverse,EO,LHW_Reverse,ED,ISP,GT,GMC,Demographics_End_Reverse,Parents_End,Coronavirus_Reverse,Low income individuals themselves|Private charities|Major companies|Government|High income individuals themselves|Income differences do not need to be reduced,Republican|Democrat|Independent|None
4992,corona_control,The Carona virus ,5.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,1.0,6.0,6.0,3.0,4.0,4.0,4.0,2.0,3.0,1.0,1.0,5.0,2.0,1.0,5.0,6.0,3.0,1,Delaware,1,63,1,0,1,2,3,4,Retirement ,8.0,3.0,1.0,4.0,4.0,2.0,2.0,5.0,2.0,Maintenance ,Cafeteria work ,3,3,3.0,3.0,4.0,1.0,3.0,2.0,2.0,0,0,0,0,0,0,1,0,,3.0,"['unequal_hcare_serious_problem', 'ineq_serious_problem', 'poverty_serious_problem', 'ineq_increasing', 'enough_opportunities', 'more_opportunities_than_parents', '', 'good_education_essential', 'educated_parents_essential', 'hard_work_essential', 'political_influence_essential', 'wealthy_family_essential', 'talent_essential', 'connections_essential', 'luck_essential', 'having_ambition_essential', 'hard_work_brings_better_life', 'people_poor_because_laziness', 'high_earners_deserve_high', 'low_earners_deserve_low', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'progressive_taxes_effective', 'govt_transfers_effective', 'educ_policies_effective', 'private_charity_effective', 'govt_regulation_effective']",DS_Reverse,EO_Reverse,LHW_Reverse,ED,ISP_Reverse,GT,GMC_Reverse,Demographics_End,Parents_End_Reverse,Coronavirus_Reverse,Government|High income individuals themselves|Private charities|Major companies|Low income individuals themselves|Income differences do not need to be reduced,Republican|Democrat|Independent|None
4993,corona_natural_ineq,the affect of the virus vs underlying health condition,2.0,2.0,4.0,5.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,5.0,5.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,5.0,5.0,5.0,1,Texas,1,58,1,0,1,1,4,6,home maker,4.0,2.0,1.0,4.0,4.0,1.0,2.0,5.0,3.0,united states air force NCO,home maker,3,4,3.0,4.0,4.0,3.0,4.0,4.0,4.0,0,0,0,0,0,0,1,0,,7.0,"['hard_work_brings_better_life', 'people_poor_because_laziness', '', 'wealthy_family_essential', 'good_education_essential', 'educated_parents_essential', 'talent_essential', 'luck_essential', 'connections_essential', 'political_influence_essential', 'having_ambition_essential', 'hard_work_essential', 'enough_opportunities', 'more_opportunities_than_parents', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_serious_problem', 'ineq_increasing', 'low_earners_deserve_low', 'high_earners_deserve_high', 'progressive_taxes_effective', 'govt_transfers_effective', 'educ_policies_effective', 'govt_regulation_effective', 'private_charity_effective', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible']",DS_Reverse,EO_Reverse,LHW_Reverse,ED,ISP,GT,GMC_Reverse,Demographics_End_Reverse,Parents_End,Coronavirus_Reverse,Government|Major companies|High income individuals themselves|Low income individuals themselves|Private charities|Income differences do not need to be reduced,Democrat|Republican|Independent|None
4994,corona_class_ineq,not everone is at risk of the covid 19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,5.0,4.0,2.0,4.0,1.0,3.0,1.0,4.0,4.0,4.0,3.0,1,South Carolina,1,51,1,1,1,4,3,1,manafactor,10.0,4.0,1.0,5.0,5.0,2.0,1.0,4.0,3.0,workrd in a mill,work in a mill,1,1,2.0,5.0,5.0,1.0,4.0,4.0,4.0,0,0,0,0,0,0,1,0,,5.0,"['', 'connections_essential', 'good_education_essential', 'hard_work_essential', 'political_influence_essential', 'wealthy_family_essential', 'educated_parents_essential', 'having_ambition_essential', 'luck_essential', 'talent_essential', 'hard_work_brings_better_life', 'people_poor_because_laziness', 'more_opportunities_than_parents', 'enough_opportunities', 'high_earners_deserve_high', 'low_earners_deserve_low', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_serious_problem', 'ineq_increasing', 'private_charity_effective', 'progressive_taxes_effective', 'govt_transfers_effective', 'educ_policies_effective', 'govt_regulation_effective', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible']",DS_Reverse,EO_Reverse,LHW,ED_Reverse,ISP,GT,GMC_Reverse,Demographics_End,Parents_End_Reverse,Coronavirus_Reverse,Low income individuals themselves|Government|High income individuals themselves|Major companies|Private charities|Income differences do not need to be reduced,Democrat|Republican|Independent|None
4998,corona_class_ineq,covid is hitting people of low income and poor people differently,3.0,3.0,5.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,1,California,1,60,0,1,1,1,4,1,customer service,4.0,2.0,1.0,3.0,2.0,3.0,2.0,5.0,3.0,grocery store manager,grocery clerk,3,3,2.0,4.0,5.0,2.0,3.0,4.0,1.0,0,0,0,0,0,0,1,0,,2.0,"['hard_work_brings_better_life', 'people_poor_because_laziness', 'more_opportunities_than_parents', 'enough_opportunities', 'low_earners_deserve_low', 'high_earners_deserve_high', '', 'educated_parents_essential', 'talent_essential', 'having_ambition_essential', 'hard_work_essential', 'good_education_essential', 'wealthy_family_essential', 'political_influence_essential', 'luck_essential', 'connections_essential', 'unequal_hcare_serious_problem', 'ineq_serious_problem', 'poverty_serious_problem', 'ineq_increasing', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible', 'private_charity_effective', 'progressive_taxes_effective', 'govt_transfers_effective', 'educ_policies_effective', 'govt_regulation_effective']",DS_Reverse,EO,LHW,ED,ISP_Reverse,GT_Reverse,GMC,Demographics_End,Parents_End_Reverse,Coronavirus_Reverse,Government|Major companies|High income individuals themselves|Low income individuals themselves|Private charities|Income differences do not need to be reduced,Republican|Democrat|Independent|None
5000,corona_control,COVID-19,3.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,6.0,4.0,1.0,1.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,1,Missouri,1,34,0,0,1,2,5,2,Finance ,4.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,2.0,Truck driver,Apartment manager ,2,2,2.0,3.0,3.0,3.0,3.0,3.0,3.0,0,0,0,0,1,0,0,0,,2.0,"['unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_serious_problem', 'ineq_increasing', 'more_opportunities_than_parents', 'enough_opportunities', '', 'political_influence_essential', 'talent_essential', 'having_ambition_essential', 'hard_work_essential', 'wealthy_family_essential', 'good_education_essential', 'luck_essential', 'connections_essential', 'educated_parents_essential', 'high_earners_deserve_high', 'low_earners_deserve_low', 'people_poor_because_laziness', 'hard_work_brings_better_life', 'educ_policies_effective', 'progressive_taxes_effective', 'govt_transfers_effective', 'private_charity_effective', 'govt_regulation_effective', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible']",DS,EO_Reverse,LHW,ED,ISP_Reverse,GT,GMC_Reverse,Demographics_End_Reverse,Parents_End_Reverse,Coronavirus_Reverse,Major companies|High income individuals themselves|Low income individuals themselves|Private charities|Government|Income differences do not need to be reduced,Republican|Democrat|Independent|None
5002,corona_class_ineq,Bullshit ,2.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,6.0,1,Illinois,1,62,1,0,1,1,3,1,Playin witcher weejacker ,7.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,Laborer ,Homemaker ,2,2,2.0,3.0,3.0,3.0,2.0,1.0,3.0,0,0,1,0,0,0,0,0,,7.0,"['unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_serious_problem', 'ineq_increasing', 'high_earners_deserve_high', 'low_earners_deserve_low', 'hard_work_brings_better_life', 'people_poor_because_laziness', '', 'connections_essential', 'hard_work_essential', 'luck_essential', 'educated_parents_essential', 'political_influence_essential', 'good_education_essential', 'talent_essential', 'wealthy_family_essential', 'having_ambition_essential', 'enough_opportunities', 'more_opportunities_than_parents', 'govt_transfers_effective', 'govt_regulation_effective', 'private_charity_effective', 'progressive_taxes_effective', 'educ_policies_effective', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible']",DS,EO_Reverse,LHW,ED,ISP_Reverse,GT,GMC_Reverse,Demographics_End_Reverse,Parents_End_Reverse,Coronavirus_Reverse,Major companies|High income individuals themselves|Government|Low income individuals themselves|Private charities|Income differences do not need to be reduced,Republican|Democrat|Independent|None
5004,corona_natural_ineq,Of whom Covid 19 as affected most,5.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,1,New Jersey,2,48,0,0,5,4,6,1,Local Government ,5.0,1.0,1.0,4.0,5.0,3.0,2.0,5.0,3.0,Mechanic ,Retail ,3,3,3.0,4.0,5.0,1.0,2.0,2.0,1.0,0,0,0,0,0,0,1,0,,7.0,"['people_poor_because_laziness', 'hard_work_brings_better_life', '', 'hard_work_essential', 'wealthy_family_essential', 'political_influence_essential', 'having_ambition_essential', 'talent_essential', 'connections_essential', 'luck_essential', 'good_education_essential', 'educated_parents_essential', 'high_earners_deserve_high', 'low_earners_deserve_low', 'more_opportunities_than_parents', 'enough_opportunities', 'ineq_serious_problem', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_increasing', 'educ_policies_effective', 'progressive_taxes_effective', 'private_charity_effective', 'govt_transfers_effective', 'govt_regulation_effective', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible']",DS,EO,LHW_Reverse,ED_Reverse,ISP_Reverse,GT,GMC,Demographics_End,Parents_End_Reverse,Coronavirus_Reverse,Low income individuals themselves|Government|High income individuals themselves|Major companies|Private charities|Income differences do not need to be reduced,Republican|Democrat|Independent|None
